participant,participant_code:1,Welcome_Screen:1,age:1,gender:1,handedness:1,education:1,income:1,computer_hours:1,wcst_task:1,n_back_task:1,corsi_block_span_task:1,fitts_law:1,navon_task:1,TIME_start,TIME_end,TIME_total
s.5e4538a1-97cf-47f3-98bb-477bc6242e68.txt,387495,"","","","","","","","","","","","",2021-05-19-14-58,"",""
s.4dd1072d-0971-466e-a47c-2e69181033d9.txt,404747,welcome_screen.2021-05-20-2211.data.4dd1072d-0971-466e-a47c-2e69181033d9.txt,40,1,1,4,8,0,"","","","","",2021-05-20-22-11,"",""
s.56ec8cad-eca4-4c6a-8a9a-d1ffbe893d46.txt,178984,welcome_screen.2021-05-20-1637.data.56ec8cad-eca4-4c6a-8a9a-d1ffbe893d46.txt,51,"","","","","","","","","","",2021-05-20-16-37,"",""
s.e27adc67-3263-41ff-b291-23479c133dc0.txt,441618,welcome_screen.2021-05-18-1550.data.e27adc67-3263-41ff-b291-23479c133dc0.txt,"","","","","","","","","","","",2021-05-18-15-50,"",""
s.0e016b8a-f304-44b6-8893-82fc2cc814e2.txt,996424,welcome_screen.2021-05-20-1652.data.0e016b8a-f304-44b6-8893-82fc2cc814e2.txt,25,1,2,4,8,"","","","","","",2021-05-20-16-52,"",""
s.c8ac1ebe-23d0-4730-a772-ba16556c7d34.txt,664027,welcome_screen.2021-05-19-1001.data.c8ac1ebe-23d0-4730-a772-ba16556c7d34.txt,"","","","","","",WCST_Task.2021-05-19-1019.data.c8ac1ebe-23d0-4730-a772-ba16556c7d34.txt,N_Back_Task.2021-05-19-1025.data.c8ac1ebe-23d0-4730-a772-ba16556c7d34.txt,Corsi_Block_Span_Task.2021-05-19-1027.data.c8ac1ebe-23d0-4730-a772-ba16556c7d34.txt,Fitts_Law.2021-05-19-1029.data.c8ac1ebe-23d0-4730-a772-ba16556c7d34.txt,Navon_Task.2021-05-19-1032.data.c8ac1ebe-23d0-4730-a772-ba16556c7d34.txt,2021-05-19-10-00,2021-05-19-10-32,32,
s.32ff642a-efe0-436f-8075-fa703d677fed.txt,851366,welcome_screen.2021-05-01-1551.data.32ff642a-efe0-436f-8075-fa703d677fed.txt,"","","","","","",WCST_Task.2021-05-01-1558.data.32ff642a-efe0-436f-8075-fa703d677fed.txt,N_Back_Task.2021-05-01-1604.data.32ff642a-efe0-436f-8075-fa703d677fed.txt,Corsi_Block_Span_Task.2021-05-01-1605.data.32ff642a-efe0-436f-8075-fa703d677fed.txt,Fitts_Law.2021-05-01-1606.data.32ff642a-efe0-436f-8075-fa703d677fed.txt,Navon_Task.2021-05-01-1609.data.32ff642a-efe0-436f-8075-fa703d677fed.txt,2021-05-01-15-50,2021-05-01-16-09,19,
s.88be81bb-b23f-4c34-b7ad-18cce2be5cb9.txt,904653,welcome_screen.2021-05-13-1543.data.88be81bb-b23f-4c34-b7ad-18cce2be5cb9.txt,"","","","","","","","","","","",2021-05-13-15-43,"",""
s.1d3040fa-53ff-4e4c-bb54-b4f03d58c62f.txt,787748,welcome_screen.2021-05-20-1653.data.1d3040fa-53ff-4e4c-bb54-b4f03d58c62f.txt,18,1,2,4,8,86,"","","","","",2021-05-20-16-53,"",""
s.8631dfc2-debc-4de9-bdb6-064dc3c7613f.txt,479017,welcome_screen.2021-05-20-1638.data.8631dfc2-debc-4de9-bdb6-064dc3c7613f.txt,22,4,"","","","","","","","","",2021-05-20-16-38,"",""
s.c6ad6698-4f59-4753-9ae9-6f8d562c5fe1.txt,429398,welcome_screen.2021-05-12-1504.data.c6ad6698-4f59-4753-9ae9-6f8d562c5fe1.txt,"","","","","","","","","","","",2021-05-12-15-03,"",""
s.6d864347-b2ab-47de-b7fa-0384c6308b9c.txt,437425,welcome_screen.2021-05-21-0936.data.6d864347-b2ab-47de-b7fa-0384c6308b9c.txt,40,1,1,4,8,1,"","","","","",2021-05-21-09-36,"",""
s.d3b74af9-3b24-4820-83a0-67986b3ec0bf.txt,490901,welcome_screen.2021-05-10-0639.data.d3b74af9-3b24-4820-83a0-67986b3ec0bf.txt,"","","","","","",WCST_Task.2021-05-10-0647.data.d3b74af9-3b24-4820-83a0-67986b3ec0bf.txt,N_Back_Task.2021-05-10-0652.data.d3b74af9-3b24-4820-83a0-67986b3ec0bf.txt,Corsi_Block_Span_Task.2021-05-10-0654.data.d3b74af9-3b24-4820-83a0-67986b3ec0bf.txt,Fitts_Law.2021-05-10-0655.data.d3b74af9-3b24-4820-83a0-67986b3ec0bf.txt,Navon_Task.2021-05-10-0657.data.d3b74af9-3b24-4820-83a0-67986b3ec0bf.txt,2021-05-10-06-39,2021-05-10-06-57,18,
